Longitude,Latitude,Start Year
-71.93,-39.42,1991
-72.97,-45.9,1991
55.708,-21.244,1991
43.38,-11.75,1991
175.57,-39.28,1991
96.329,4.914,1991
125.4,2.78,1991
-174.87,-19.18,1991
124.737,1.112,1991
124.792,1.358,1991
137.48,35.893,1991
122.775,-8.542,1991
123.258,-8.342,1991
-85.324,10.83,1991
157.95,-9.02,1991
-91.55,-0.37,1991
160.642,56.056,1991
120.35,15.13,1991
93.858,12.278,1991
120.52,-8.62,1991
-104.3,9.83,1991
-84.233,10.2,1991
-103.62,19.514,1991
123.132,10.412,1991
-70.568,-35.223,1991
-19.666,63.983,1991
156.014,50.686,1991
158.836,53.256,1991
101.264,-1.697,1990
-67.73,-23.37,1990
130.299,32.761,1990
-122.18,46.2,1990
139.394,34.724,1990
168.12,-16.25,1990
-165.986,54.134,1990
138.523,36.406,1990
-113.206,-17.436,1990
-72.117,-40.59,1990
175.57,-39.28,1990
177.602,52.103,1990
-177.188,-25.887,1990
-71.85,-15.78,1990
127.33,0.8,1990
-78.598,-0.171,1990
129.714,29.638,1990
-61.64,12.3,1990
-161.894,55.417,1990
-71.729,-38.692,1990
112.308,-7.93,1990
160.595,55.972,1990
122.775,-8.542,1990
-165.986,54.134,1990
55.708,-21.244,1990
114.056,-8.119,1990
161.36,56.653,1990
175.57,-39.28,1990
-77.37,1.22,1990
-90.601,14.381,1990
15.004,37.734,1989
-152.742,60.485,1989
-122.18,46.2,1989
123.132,10.412,1989
145.1,20.13,1989
15.004,37.734,1989
-178.794,51.79,1989
165.8,-10.38,1989
160.595,55.972,1989
125.4,2.78,1989
139.098,34.9,1989
175.57,-39.28,1989
9.17,4.203,1989
147.871,45.012,1989
29.2,-1.408,1989
168.12,-16.25,1989
124.737,1.112,1989
138.036,36.921,1989
161.36,56.653,1989
131.104,32.884,1989
-165.986,54.134,1989
-86.161,11.984,1989
-77.37,1.22,1989
156.014,50.686,1989
153.2,48.092,1989
151.33,-5.05,1989
-61.64,12.3,1988
-71.586,-38.379,1988
142.686,43.418,1988
175.57,-39.28,1988
161.36,56.653,1988
-73.28,-49.358,1988
15.004,37.734,1988
-91.55,-0.37,1988
-177.188,-25.887,1988
145.8,18.13,1988
127.4,0.32,1988
109.208,-7.242,1988
-104.3,9.83,1988
-71.85,-15.78,1988
123.132,10.412,1988
-85.622,11.538,1988
-175.382,-20.536,1988
131.104,32.884,1988
129.881,-4.523,1988
124.792,1.358,1988
-165.986,54.134,1988
175.57,-39.28,1988
124.05,12.77,1988
105.423,-6.102,1988
127.33,0.8,1988
168.12,-16.25,1988
130.308,30.789,1988
129.714,29.638,1988
144.013,43.384,1988
29.2,-1.408,1987
120.52,-8.62,1987
-69.797,-33.425,1987
-67.73,-23.37,1987
-86.845,12.602,1987
139.394,34.724,1987
156.014,50.686,1987
123.258,-8.342,1987
145.8,18.13,1987
-171.252,52.5,1987
-178.794,51.79,1987
175.57,-39.28,1987
141.481,24.285,1987
-103.62,19.514,1987
-169.944,52.825,1987
-84.233,10.2,1987
-140.25,-28.98,1987
114.056,-8.119,1987
138.036,36.921,1987
179.58,51.93,1987
127.53,1.38,1987
-85.324,10.83,1987
123.132,10.412,1987
-159.38,56.17,1987
-159.797,56.011,1987
15.004,37.734,1987
-174.166,52.381,1987
-166.923,53.891,1987
-86.161,11.984,1987
-165.986,54.134,1987
100.473,-0.381,1987
-90.88,14.473,1987
-85.324,10.83,1986
-71.85,-15.78,1986
160.595,55.972,1986
160.642,56.056,1986
-168.13,53.43,1986
155.461,50.324,1986
139.394,34.724,1986
168.12,-16.25,1986
15.004,37.734,1986
153.48,48.98,1986
110.442,-7.542,1986
-67.73,-23.37,1986
153.2,48.092,1986
-130.3,44.83,1986
109.92,-7.2,1986
29.2,-1.408,1986
99.539,0.686,1986
